In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Number of Patients,Number of Patients Returned,Footnote,Start Date,End Date
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,28,15.5,12.4,19.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,172,12.6,-4.2,32.4,137,50,,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,189,49.7,33.4,68.4,176,51,,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,1000,15.3,13.9,16.7,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,731,11.2,8.3,15.2,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Worse than expected,216,2.7,2.2,3.4,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,71,19,15.8,22.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,172,21.2,18.1,24.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,282,4.7,3.2,6.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,189,16.9,14.1,20.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,100,26.9,7.1,49.4,97,23,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,334,4.1,-7.7,17.1,278,95,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,752,64.4,55.5,74.3,649,196,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,2350,16,15.0,17.1,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,269,12.2,9,16.5,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,142,12,8.9,15.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,142,5.8,3.9,8.4,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,457,1,0.7,1.4,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,100,14,11.3,17.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,130,19.5,16.1,23.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,334,18.6,15.9,21.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,140,5.9,3.8,8.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Worse Than the National Rate,752,18.2,16.2,20.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,242,11.8,-0.9,26.7,239,60,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,892,13.4,5.1,22.3,723,209,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,657,19.6,11.1,29,614,134,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,7005,14.6,13.9,15.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,694,13,9.9,17.2,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,909,12.1,10.3,14.1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,909,4.2,3.2,5.5,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1095,0.8,0.6,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,242,13.8,11.6,16.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,143,8.9,6.5,12.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,187,18.9,16.2,22.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,892,19.2,17.2,21.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Better Than the National Rate,417,2.9,1.9,4.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,657,15.4,13.4,17.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,119,21.4,2.8,42.1,117,22,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,569,21.9,11.8,33.2,456,135,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,554,80.4,69.1,92.9,505,143,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Worse Than the National Rate,2911,16.4,15.4,17.4,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,618,13.2,9.8,17.6,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,348,8.3,6.2,10.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,348,4.3,2.9,6.1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,745,1,0.8,1.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,119,13.2,10.7,16.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,134,20.1,17.0,23.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,569,19.8,17.6,22.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Worse Than the National Rate,554,18.6,16.4,21.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,409,63.3,50.1,77.1,324,126,,07/01/2021,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,446,82.7,70.1,95.3,402,124,,07/01/2021,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Worse Than the National Rate,2010,16.8,15.6,17.9,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,48,12.7,9,17.6,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,74,13.9,9.9,18.7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,74,4.6,2.8,7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,219,1.1,0.7,1.5,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,137,20.8,17.6,24.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
